x,y,mag,time
-722.2929655,126.3438065,7.9,0
-403.41215,-82.41264139,6.5,2384
-779.4221235,122.784826,6.3,3475
-362.6530761,-196.856107,7,4164
-359.6109189,436.6424158,6.7,5670
-527.7340147,433.4170897,6.3,7794
-570.5586151,359.0121544,6.4,11913
-424.5939008,-142.5816549,6.4,14671
-774.0574503,112.2191028,6.5,14689
-370.8403489,324.6457493,6.4,15191
-323.8290643,495.5880297,6.3,15655
-332.9906743,292.5037069,5.6,16571
-768.7297748,188.7371828,5.5,16621
-804.2433156,164.2691921,5.6,16962
-1099.82033,194.8541804,5.5,17559
-1035.038245,344.7762325,5.5,18239
-563.5239407,88.30720278,6.2,18346
-443.3915867,-175.0573516,6.1,19626
-540.0819708,42.81898372,5.5,21192
-388.4416489,-185.8455111,5.9,21725
-380.4471995,2.780453488,6.7,22251
-374.5072644,-8.675014883,6.3,22251
-344.3854525,-199.5253423,6.3,22364
-849.0263209,235.4488014,5.5,22602
-610.3230435,504.2630446,5.9,22698
-998.3324777,491.4729586,6.2,24624
-1004.521885,491.6953948,5.8,24624
-1000.666018,493.9197576,6,24625
-999.685105,492.2514855,5.6,24638
-1002.447585,490.1383409,5.5,24663
-854.9057019,161.043866,4,24757
-1001.084238,507.5995888,3.8,24758
-817.4776596,190.0718004,5.1,24759
-1011.071904,480.1287083,5,24772
-822.6224738,175.391006,4.3,24843
-988.9077359,512.7156232,4.1,24847
-838.9460523,177.3929325,4.8,24937
-830.1996459,182.7314032,4.3,24937
-831.2420223,189.0708372,4.6,24942
-977.1323965,280.2697116,4,25015
-1004.161615,491.6953948,4.9,25018
-1008.115753,484.688652,4.9,25022
-801.9777144,179.3948591,5.4,25040
-817.3565481,173.7227339,5,25040
-836.5293985,151.0342335,4.1,25041
-758.1224938,204.1965042,3.9,25046
-323.1243902,351.1156665,5.2,25068
-1012.779394,487.2466693,5,25086
-796.5801451,87.19502139,4.9,25093
-961.3136872,298.8431409,5.2,25093
-641.0915548,518.8326209,4.6,25109
-614.9760493,-61.94850371,4.7,25163
-1096.685632,277.1556037,4.2,25193
-935.9807826,342.9967423,4.9,25248
-324.9153558,453.6587911,4.7,25291
-555.7823743,-95.87003627,4.9,25296
-349.8138024,439.200433,5,25323
-664.6179464,515.2736404,4.6,25335
-629.1559032,455.6607176,4.8,25411
-781.3943545,150.0332702,4.8,25428
-1058.84641,395.2692679,6.2,25470
-1053.065062,403.4994102,5,25470
-1051.639171,393.8234321,5,25470
-1049.160422,412.0632069,5,25470
-553.9037236,104.2113967,5.3,25492
-569.653305,106.2133232,6.8,25492
-564.2366006,50.04816279,6,25492
